SYMBOL,ISIN
TOTAL,INE336X01012
TOUCHWOOD,INE486Y01013
TPLPLASTEH,INE413G01014
TREEHOUSE,INE040M01013
TREJHARA,INE00CA01015
TRENT,INE849A01020
TRF,INE391D01019
TRIDENT,INE064C01022
TRIGYN,INE948A01012
TRIL,INE763I01026
TRITURBINE,INE152M01016
TRIVENI,INE256C01024
TTKHLTCARE,INE910C01018
TTKPRESTIG,INE690A01010
TTL,INE592B01016
TTML,INE517B01013
TV18BRDCST,INE886H01027
TVSELECT,INE236G01019
TVSMOTOR,INE494B01023
TVSSRICHAK,INE421C01016
TVTODAY,INE038F01029
TVVISION,INE871L01013
TWL,INE615H01020
UBL,INE686F01025
UCALFUEL,INE139B01016
UCL,INE00NI01015
UCOBANK,INE691A01018
UFLEX,INE516A01017
UFO,INE527H01019
UGARSUGAR,INE071E01023
UJAAS,INE899L01022
UJJIVAN,INE334L01012
UJJIVANSFB,INE551W01018
ULTRACEMCO,INE481G01011
UMANGDAIRY,INE864B01027
UMESLTD,INE240C01028
UNICHEMLAB,INE351A01035
UNIDT,INE961D01019
UNIENTER,INE037A01022
UNIONBANK,INE692A01016
UNIPLY,INE950G01023
UNITECH,INE694A01020
UNITEDTEA,INE458F01011
UNITY,INE466H01028
UNIVASTU,INE562X01013
UNIVCABLES,INE279A01012
UNIVPHOTO,INE03V001013
UPL,INE628A01036
URJA,INE550C01020
URJAPP,IN9550C01010
USHAMART,INE228A01035
UTIAMC,INE094J01016
UTIBANKETF,INF789F1AUV1
UTINEXT50,INF789F1AUW9
UTINIFTETF,INF789FB1X41
UTISENSETF,INF789FB1X58
UTISXN50,INF789F1AUU3
UTTAMSTL,INE699A01011
UTTAMSUGAR,INE786F01031
V2RETAIL,INE945H01013
VADILALIND,INE694D01016
VAIBHAVGBL,INE884A01019
VAISHALI,INE972X01014
VAKRANGEE,INE051B01021
VALIANTORG,INE565V01010
VARDHACRLC,INE116G01013
VARDMNPOLY,INE835A01011
VARROC,INE665L01035
VASCONEQ,INE893I01013
VASWANI,INE590L01019
VBL,INE200M01013
VCL,INE098201010
VEDL,INE205A01025
VENKEYS,INE398A01010
VENUSREM,INE411B01019
VERTOZ,INE188Y01015
VESUVIUS,INE386A01015
VETO,INE918N01018
VGUARD,INE951I01027
VHL,INE701A01023
VICEROY,INE048C01017
VIDEOIND,INE703A01011
VIDHIING,INE632C01026
VIJIFIN,INE159N01027
VIKASECO,INE806A01020
VIKASMCORP,INE161L01027
VIKASPROP,INE767B01022
VIKASWSP,INE706A01022
VIMTALABS,INE579C01029
VINATIORGA,INE410B01037
VINDHYATEL,INE707A01012
VINYLINDIA,INE250B01029
VIPCLOTHNG,INE450G01024
VIPIND,INE054A01027
VIPULLTD,INE946H01037
VISAKAIND,INE392A01013
VISASTEEL,INE286H01012
VISESHINFO,INE861A01058
VISHAL,INE755Q01025
VISHNU,INE270I01014
VISHWARAJ,INE430N01014
VIVIDHA,INE370E01029
VIVIMEDLAB,INE526G01021
VLSFINANCE,INE709A01018
VMARCIND,INE0GXK01018
VMART,INE665J01013
VOLTAMP,INE540H01012
VOLTAS,INE226A01021
VRLLOG,INE366I01010
VSCL,INE551Q01028
VSSL,INE050M01012
VSTIND,INE710A01016
VSTTILLERS,INE764D01017
VTL,INE825A01012
WABAG,INE956G01038
WABCOINDIA,INE342J01019
WALCHANNAG,INE711A01022
WANBURY,INE107F01022
WATERBASE,INE054C01015
WEALTH,INE658T01017
WEBELSOLAR,INE855C01015
WEIZMANIND,INE080A01014
WELCORP,INE191B01025
WELENT,INE625G01013
WELINV,INE389K01018
WELSPUNIND,INE192B01031
WENDT,INE274C01019
WESTLIFE,INE274F01020
WHEELS,INE715A01015
WHIRLPOOL,INE716A01013
WILLAMAGOR,INE210A01017
WINDMACHIN,INE052A01021
WIPL,INE215F01023
WIPRO,INE075A01022
WOCKPHARMA,INE049B01025
WONDERLA,INE066O01014
WORTH,INE196Y01018
WSI,INE100D01014
WSTCSTPAPR,INE976A01021
XCHANGING,INE692G01013
XELPMOC,INE01P501012
XPROINDIA,INE445C01015
YAARII,INE126M01010
YESBANK,INE528G01035
ZEEL,INE256A01028
ZEEL,INE256A04022
ZEELEARN,INE565L01011
ZEEMEDIA,INE966H01019
ZENITHEXPO,INE058B01018
ZENITHSTL,INE318D01020
ZENSARTECH,INE520A01027
ZENTEC,INE251B01027
ZICOM,INE871B01014
ZODIACLOTH,INE206B01013
ZODJRDMKJ,INE077B01018
ZOTA,INE358U01012
ZUARI,INE840M01016
ZUARIGLOB,INE217A01012
ZYDUSWELL,INE768C01010
